question,faithfulness_score,correctness_score,combined_score,passages_count,forced_adjustment
What are the common causes of sick sinus syndrome in middle-aged and elderly patients?,1.0,1.8,1.4,13,No
Which system offers better screen resolution support: Elite XTS simulator or Arcam AVR850 receiver?,0.0,-1.0,-0.5,14,No
"What are the common signs of hearing loss in daily life, and how does untreated hearing loss affect cognitive abilities?",1.0,1.5,1.25,14,No
Do both Honor Flight Louisiana and USS San Diego CL-53 rely on government funding for their operations?,-1.0,-1.0,-1.0,13,Yes
"What is the role of memory in medical education, and how does it relate to physical recovery in sports training?",0.5,0.5,0.5,13,No
olive propagation soil pollution prevention techniques,0.4,1.0,0.7,14,No
I'm curious about wine and tea expertise. How do experts describe flavors in both drinks?,0.6,1.0,0.8,13,No
What kind of historical documentation does the Ohio African-American digital collection contain from the period 1850 to 1920?,0.8,1.0,0.9,14,No
What type of shoes are recommended for a conservative business environment like a bank or law firm?,0.8,1.0,0.9,13,No
How do both Hikmet Barutcugil and the Todd couple approach teaching their respective artistic crafts?,0.4,-1.0,-0.3,14,No
What exactly happens to a wire when it is stretched at temperatures above 0.4 of its melting temperature?,0.9,1.0,0.95,12,No
lee brice holly dunn acm awards compare,0.5,-1.0,-0.25,14,No
born before 1800 john seller william burt,0.0,1.0,0.5,14,No
environmental healing approaches comparison post conflict reconciliation vs ecological garden sustainability methods,0.7,2.0,1.35,12,No
"What are the benefits of raising backyard chickens for food sustainability, and what specific winter challenges do chicken owners face?",1.0,1.0,1.0,13,No
I study historical city traditions and I'm wondering if both Fredericksburg and Macon offer guided tours focusing on their unique cultural heritage?,0.5,1.0,0.75,14,No
How did Rome and Carthage differ in their survival as ancient cities?,0.5,1.0,0.75,16,No
"How did social advancement opportunities for African American sailors change between the 18th and early 20th centuries, and what was their representation in naval forces during this period?",0.8,1.0,0.9,11,No
What do the 'ways of God' refer to?,0.8,1.0,0.9,13,No
What are the key differences between Islam's role in Arab countries versus Gabon's approach to religion according to their constitution?,1.0,1.0,1.0,12,No
What are the steps for including a new technology in the Euro-BioImaging portfolio?,1.0,1.0,1.0,13,No
What potential risks do cayenne pepper and turmeric share when it comes to blood clotting?,0.9,2.0,1.45,15,No
"As a church musician, I'm curious about the difference between traditional sound checks and modern acoustic enhancement systems in terms of preparation time?",0.5,1.0,0.75,14,No
"As someone interested in different belief systems, what's the difference between Islam and Buddhism in how they view morality and self-improvement?",0.5,1.5,1.0,13,No
How do packing requirements compare between dry stone walls and rendered cladding on timber frames?,0.2,1.0,0.6,13,No
How do the goals and approaches of the environmental justice movement compare to those of the civil rights movement?,1.0,1.5,1.25,15,No
how does specialization affect worker productivity and what psychosocial risks arise from specialized work tasks,0.8,1.0,0.9,15,No
recommended lens specifications focal length aperture for milky way photography,1.0,1.0,1.0,13,No
